user_id,activity_date,sessions,session_duration_min,workouts_completed,ai_coach_used,training_plan_accessed,calories_burned,active_minutes,steps_recorded,registration_date,days_since_reg,week_number,day_of_week,is_weekend
U00001,2026-01-06,2,11.1,2,0,1,261,47,7115,2026-01-04,2,2,Tuesday,0
U00001,2026-01-08,1,52.1,1,1,1,380,56,0,2026-01-04,4,2,Thursday,0
U00001,2026-01-09,1,25.7,1,0,0,391,38,0,2026-01-04,5,2,Friday,0
U00001,2026-01-10,2,33.9,2,1,1,628,63,0,2026-01-04,6,2,Saturday,1
U00001,2026-01-13,3,48.0,3,1,1,373,93,0,2026-01-04,9,3,Tuesday,0
U00001,2026-01-14,3,17.7,1,1,0,243,32,7470,2026-01-04,10,3,Wednesday,0
U00001,2026-01-16,1,21.6,2,1,0,607,55,10377,2026-01-04,12,3,Friday,0
U00001,2026-01-17,2,15.0,1,0,0,272,30,0,2026-01-04,13,3,Saturday,1
U00001,2026-01-18,1,21.2,1,0,0,308,34,3472,2026-01-04,14,3,Sunday,1
U00001,2026-01-19,2,24.3,2,0,1,570,57,12089,2026-01-04,15,4,Monday,0
U00001,2026-01-21,2,14.2,1,0,1,291,29,6414,2026-01-04,17,4,Wednesday,0
U00001,2026-01-23,1,55.2,1,0,1,352,58,0,2026-01-04,19,4,Friday,0
U00001,2026-01-24,2,41.6,2,1,1,504,69,0,2026-01-04,20,4,Saturday,1
U00001,2026-01-25,1,27.6,1,0,0,385,39,0,2026-01-04,21,4,Sunday,1
U00001,2026-01-27,2,16.1,1,0,1,367,31,0,2026-01-04,23,5,Tuesday,0
U00001,2026-01-28,1,16.0,1,1,1,340,31,0,2026-01-04,24,5,Wednesday,0
U00001,2026-01-29,1,43.8,1,0,0,293,50,0,2026-01-04,25,5,Thursday,0
U00001,2026-01-30,1,32.5,1,0,0,366,42,0,2026-01-04,26,5,Friday,0
U00001,2026-01-31,1,25.7,2,0,0,446,58,4131,2026-01-04,27,5,Saturday,1
U00001,2026-02-01,2,18.5,0,1,1,55,12,0,2026-01-04,28,5,Sunday,1
U00001,2026-02-03,1,62.1,1,1,1,357,63,5473,2026-01-04,30,6,Tuesday,0
U00001,2026-02-07,2,37.6,0,0,0,112,26,0,2026-01-04,34,6,Saturday,1
U00001,2026-02-08,1,63.3,2,1,0,567,84,6108,2026-01-04,35,6,Sunday,1
U00001,2026-02-10,1,14.2,1,1,1,290,29,0,2026-01-04,37,7,Tuesday,0
U00001,2026-02-12,1,41.3,1,0,0,324,48,5823,2026-01-04,39,7,Thursday,0
U00001,2026-02-13,1,17.3,1,1,1,283,32,0,2026-01-04,40,7,Friday,0
U00001,2026-02-16,1,29.4,1,0,0,432,40,0,2026-01-04,43,8,Monday,0
U00001,2026-02-17,2,40.8,2,1,1,746,68,0,2026-01-04,44,8,Tuesday,0
U00001,2026-02-18,2,18.1,2,1,0,592,52,1509,2026-01-04,45,8,Wednesday,0
U00001,2026-02-19,1,24.2,1,0,1,144,36,7830,2026-01-04,46,8,Thursday,0
U00001,2026-02-21,1,52.6,1,1,0,423,56,0,2026-01-04,48,8,Saturday,1
U00001,2026-02-24,3,16.8,1,0,1,236,31,0,2026-01-04,51,9,Tuesday,0
U00001,2026-02-25,1,39.5,1,1,0,517,47,6109,2026-01-04,52,9,Wednesday,0
U00001,2026-02-27,1,43.9,1,1,1,353,50,0,2026-01-04,54,9,Friday,0
U00002,2026-01-25,2,17.2,0,0,1,51,12,0,2026-01-25,0,4,Sunday,1
U00002,2026-01-26,1,34.0,1,0,1,380,43,0,2026-01-25,1,5,Monday,0
U00002,2026-01-27,2,26.2,1,0,0,432,38,0,2026-01-25,2,5,Tuesday,0
U00002,2026-01-28,2,28.5,0,0,0,85,19,9769,2026-01-25,3,5,Wednesday,0
U00002,2026-01-31,3,18.0,1,0,1,216,32,0,2026-01-25,6,5,Saturday,1
U00002,2026-02-01,1,22.6,1,0,0,318,35,0,2026-01-25,7,5,Sunday,1
U00002,2026-02-02,2,11.3,0,0,0,50,7,0,2026-01-25,8,6,Monday,0
U00002,2026-02-03,2,52.7,1,1,0,507,56,0,2026-01-25,9,6,Tuesday,0
U00002,2026-02-04,1,28.4,1,0,1,312,39,0,2026-01-25,10,6,Wednesday,0
U00002,2026-02-06,2,19.5,2,0,0,389,53,0,2026-01-25,12,6,Friday,0
U00002,2026-02-08,1,7.2,3,0,0,1001,65,0,2026-01-25,14,6,Sunday,1
U00002,2026-02-09,2,32.9,1,0,0,348,43,0,2026-01-25,15,7,Monday,0
U00002,2026-02-10,2,11.7,1,0,1,314,28,10173,2026-01-25,16,7,Tuesday,0
U00002,2026-02-11,2,40.6,0,0,0,121,28,0,2026-01-25,17,7,Wednesday,0
U00002,2026-02-12,3,29.5,0,0,0,88,20,4023,2026-01-25,18,7,Thursday,0
U00002,2026-02-13,1,23.4,1,0,0,321,36,0,2026-01-25,19,7,Friday,0
U00002,2026-02-20,2,28.7,1,0,0,322,40,0,2026-01-25,26,8,Friday,0
U00002,2026-02-24,1,15.1,2,0,0,361,50,0,2026-01-25,30,9,Tuesday,0
U00002,2026-02-25,2,9.8,0,0,0,50,6,0,2026-01-25,31,9,Wednesday,0
U00003,2026-01-09,2,37.5,2,0,0,187,66,0,2026-01-08,1,2,Friday,0
U00003,2026-01-12,1,25.3,1,0,0,225,37,0,2026-01-08,4,3,Monday,0
U00003,2026-01-13,1,10.2,2,0,1,541,47,1324,2026-01-08,5,3,Tuesday,0
U00003,2026-01-15,1,30.1,1,0,1,163,41,0,2026-01-08,7,3,Thursday,0
U00003,2026-01-19,1,19.8,1,0,0,307,33,4447,2026-01-08,11,4,Monday,0
U00003,2026-01-23,2,8.1,1,0,1,218,25,0,2026-01-08,15,4,Friday,0
U00003,2026-01-26,1,15.0,1,0,0,171,30,6965,2026-01-08,18,5,Monday,0
U00003,2026-01-27,1,19.4,1,0,0,255,33,5395,2026-01-08,19,5,Tuesday,0
U00003,2026-01-30,3,35.7,1,0,1,414,44,4980,2026-01-08,22,5,Friday,0
U00003,2026-01-31,1,22.9,2,0,0,356,56,2381,2026-01-08,23,5,Saturday,1
U00003,2026-02-05,1,16.7,1,0,1,313,31,0,2026-01-08,28,6,Thursday,0
U00003,2026-02-08,3,24.0,1,0,0,380,36,0,2026-01-08,31,6,Sunday,1
U00003,2026-02-18,1,26.2,1,0,0,261,38,8409,2026-01-08,41,8,Wednesday,0
U00003,2026-02-21,1,10.9,2,0,1,828,47,0,2026-01-08,44,8,Saturday,1
U00003,2026-02-26,2,11.5,0,1,0,50,8,0,2026-01-08,49,9,Thursday,0
U00003,2026-03-01,1,27.8,1,0,1,332,39,0,2026-01-08,52,9,Sunday,1
U00004,2026-01-04,1,32.6,2,0,1,448,62,0,2026-01-04,0,1,Sunday,1
U00004,2026-01-10,1,20.0,3,0,0,691,74,0,2026-01-04,6,2,Saturday,1
U00004,2026-01-11,1,27.8,2,0,0,490,59,6319,2026-01-04,7,2,Sunday,1
U00004,2026-01-12,1,15.2,1,0,0,338,30,0,2026-01-04,8,3,Monday,0
U00004,2026-01-14,2,16.3,1,0,0,228,31,0,2026-01-04,10,3,Wednesday,0
U00004,2026-01-15,2,6.2,0,1,0,50,4,7069,2026-01-04,11,3,Thursday,0
U00004,2026-01-20,2,19.3,0,0,0,57,13,0,2026-01-04,16,4,Tuesday,0
U00004,2026-01-27,1,33.5,1,0,0,346,43,0,2026-01-04,23,5,Tuesday,0
U00004,2026-02-01,1,21.7,1,1,0,276,35,0,2026-01-04,28,5,Sunday,1
U00004,2026-02-03,1,31.7,1,0,0,336,42,0,2026-01-04,30,6,Tuesday,0
U00004,2026-02-04,1,16.9,1,0,0,136,31,0,2026-01-04,31,6,Wednesday,0
U00004,2026-02-09,1,17.8,1,0,1,232,32,5449,2026-01-04,36,7,Monday,0
U00004,2026-02-12,1,21.7,1,0,1,171,35,7791,2026-01-04,39,7,Thursday,0
U00005,2026-01-22,1,39.8,3,0,1,1390,87,6785,2026-01-18,4,4,Thursday,0
U00005,2026-01-26,1,10.9,2,0,0,273,47,0,2026-01-18,8,5,Monday,0
U00005,2026-01-27,3,24.5,1,0,0,471,37,2390,2026-01-18,9,5,Tuesday,0
U00005,2026-01-28,1,33.2,1,1,0,277,43,0,2026-01-18,10,5,Wednesday,0
U00005,2026-01-30,1,25.6,1,0,0,362,37,5611,2026-01-18,12,5,Friday,0
U00005,2026-02-02,2,21.0,1,1,0,315,34,0,2026-01-18,15,6,Monday,0
U00005,2026-02-03,1,38.2,1,0,0,307,46,6042,2026-01-18,16,6,Tuesday,0
U00005,2026-02-06,1,32.3,1,0,1,384,42,6108,2026-01-18,19,6,Friday,0
U00005,2026-02-07,1,12.4,3,0,0,700,68,0,2026-01-18,20,6,Saturday,1
U00005,2026-02-09,1,13.9,1,0,1,165,29,0,2026-01-18,22,7,Monday,0
U00005,2026-02-10,2,25.0,3,0,0,852,77,11107,2026-01-18,23,7,Tuesday,0
U00005,2026-02-13,1,30.5,1,1,1,332,41,265,2026-01-18,26,7,Friday,0
U00005,2026-02-17,1,27.0,1,0,1,332,38,4449,2026-01-18,30,8,Tuesday,0
U00005,2026-02-18,2,26.0,1,0,0,304,38,5483,2026-01-18,31,8,Wednesday,0
U00005,2026-02-19,1,8.5,2,0,0,414,45,3725,2026-01-18,32,8,Thursday,0
U00005,2026-02-20,2,44.4,0,0,0,133,31,0,2026-01-18,33,8,Friday,0
U00005,2026-02-22,1,10.8,1,0,0,355,27,3939,2026-01-18,35,8,Sunday,1
