user_id,activity_date,sessions,session_duration_min,workouts_completed,ai_coach_used,training_plan_accessed,calories_burned,active_minutes,steps_recorded
U00001,2026-01-06,2,11.1,2,0,1,261,47,7115
U00001,2026-01-08,1,52.1,1,1,1,380,56,0
U00001,2026-01-09,1,25.7,1,0,0,391,38,0
U00001,2026-01-10,2,33.9,2,1,1,628,63,0
U00001,2026-01-13,3,48.0,3,1,1,373,93,0
U00001,2026-01-14,3,17.7,1,1,0,243,32,7470
U00001,2026-01-16,1,21.6,2,1,0,607,55,10377
U00001,2026-01-17,2,15.0,1,0,0,272,30,0
U00001,2026-01-18,1,21.2,1,0,0,308,34,3472
U00001,2026-01-19,2,24.3,2,0,1,570,57,12089
U00001,2026-01-21,2,14.2,1,0,1,291,29,6414
U00001,2026-01-23,1,55.2,1,0,1,352,58,0
U00001,2026-01-24,2,41.6,2,1,1,504,69,0
U00001,2026-01-25,1,27.6,1,0,0,385,39,0
U00001,2026-01-27,2,16.1,1,0,1,367,31,0
U00001,2026-01-28,1,16.0,1,1,1,340,31,0
U00001,2026-01-29,1,43.8,1,0,0,293,50,0
U00001,2026-01-30,1,32.5,1,0,0,366,42,0
U00001,2026-01-31,1,25.7,2,0,0,446,58,4131
U00001,2026-02-01,2,18.5,0,1,1,55,12,0
U00001,2026-02-03,1,62.1,1,1,1,357,63,5473
U00001,2026-02-07,2,37.6,0,0,0,112,26,0
U00001,2026-02-08,1,63.3,2,1,0,567,84,6108
U00001,2026-02-10,1,14.2,1,1,1,290,29,0
U00001,2026-02-12,1,41.3,1,0,0,324,48,5823
U00001,2026-02-13,1,17.3,1,1,1,283,32,0
U00001,2026-02-16,1,29.4,1,0,0,432,40,0
U00001,2026-02-17,2,40.8,2,1,1,746,68,0
U00001,2026-02-18,2,18.1,2,1,0,592,52,1509
U00001,2026-02-19,1,24.2,1,0,1,144,36,7830
U00001,2026-02-21,1,52.6,1,1,0,423,56,0
U00001,2026-02-24,3,16.8,1,0,1,236,31,0
U00001,2026-02-25,1,39.5,1,1,0,517,47,6109
U00001,2026-02-27,1,43.9,1,1,1,353,50,0
U00002,2026-01-25,2,17.2,0,0,1,51,12,0
U00002,2026-01-26,1,34.0,1,0,1,380,43,0
U00002,2026-01-27,2,26.2,1,0,0,432,38,0
U00002,2026-01-28,2,28.5,0,0,0,85,19,9769
U00002,2026-01-31,3,18.0,1,0,1,216,32,0
U00002,2026-02-01,1,22.6,1,0,0,318,35,0
U00002,2026-02-02,2,11.3,0,0,0,50,7,0
U00002,2026-02-03,2,52.7,1,1,0,507,56,0
U00002,2026-02-04,1,28.4,1,0,1,312,39,0
U00002,2026-02-06,2,19.5,2,0,0,389,53,0
U00002,2026-02-08,1,7.2,3,0,0,1001,65,0
U00002,2026-02-09,2,32.9,1,0,0,348,43,0
U00002,2026-02-10,2,11.7,1,0,1,314,28,10173
U00002,2026-02-11,2,40.6,0,0,0,121,28,0
U00002,2026-02-12,3,29.5,0,0,0,88,20,4023
U00002,2026-02-13,1,23.4,1,0,0,321,36,0
U00002,2026-02-20,2,28.7,1,0,0,322,40,0
U00002,2026-02-24,1,15.1,2,0,0,361,50,0
U00002,2026-02-25,2,9.8,0,0,0,50,6,0
U00003,2026-01-09,2,37.5,2,0,0,187,66,0
U00003,2026-01-12,1,25.3,1,0,0,225,37,0
U00003,2026-01-13,1,10.2,2,0,1,541,47,1324
U00003,2026-01-15,1,30.1,1,0,1,163,41,0
U00003,2026-01-19,1,19.8,1,0,0,307,33,4447
U00003,2026-01-23,2,8.1,1,0,1,218,25,0
U00003,2026-01-26,1,15.0,1,0,0,171,30,6965
U00003,2026-01-27,1,19.4,1,0,0,255,33,5395
U00003,2026-01-30,3,35.7,1,0,1,414,44,4980
U00003,2026-01-31,1,22.9,2,0,0,356,56,2381
U00003,2026-02-05,1,16.7,1,0,1,313,31,0
U00003,2026-02-08,3,24.0,1,0,0,380,36,0
U00003,2026-02-18,1,26.2,1,0,0,261,38,8409
U00003,2026-02-21,1,10.9,2,0,1,828,47,0
U00003,2026-02-26,2,11.5,0,1,0,50,8,0
U00003,2026-03-01,1,27.8,1,0,1,332,39,0
U00004,2026-01-04,1,32.6,2,0,1,448,62,0
U00004,2026-01-10,1,20.0,3,0,0,691,74,0
U00004,2026-01-11,1,27.8,2,0,0,490,59,6319
U00004,2026-01-12,1,15.2,1,0,0,338,30,0
U00004,2026-01-14,2,16.3,1,0,0,228,31,0
U00004,2026-01-15,2,6.2,0,1,0,50,4,7069
U00004,2026-01-20,2,19.3,0,0,0,57,13,0
U00004,2026-01-27,1,33.5,1,0,0,346,43,0
U00004,2026-02-01,1,21.7,1,1,0,276,35,0
U00004,2026-02-03,1,31.7,1,0,0,336,42,0
U00004,2026-02-04,1,16.9,1,0,0,136,31,0
U00004,2026-02-09,1,17.8,1,0,1,232,32,5449
U00004,2026-02-12,1,21.7,1,0,1,171,35,7791
U00005,2026-01-22,1,39.8,3,0,1,1390,87,6785
U00005,2026-01-26,1,10.9,2,0,0,273,47,0
U00005,2026-01-27,3,24.5,1,0,0,471,37,2390
U00005,2026-01-28,1,33.2,1,1,0,277,43,0
U00005,2026-01-30,1,25.6,1,0,0,362,37,5611
U00005,2026-02-02,2,21.0,1,1,0,315,34,0
U00005,2026-02-03,1,38.2,1,0,0,307,46,6042
U00005,2026-02-06,1,32.3,1,0,1,384,42,6108
U00005,2026-02-07,1,12.4,3,0,0,700,68,0
U00005,2026-02-09,1,13.9,1,0,1,165,29,0
U00005,2026-02-10,2,25.0,3,0,0,852,77,11107
U00005,2026-02-13,1,30.5,1,1,1,332,41,265
U00005,2026-02-17,1,27.0,1,0,1,332,38,4449
U00005,2026-02-18,2,26.0,1,0,0,304,38,5483
U00005,2026-02-19,1,8.5,2,0,0,414,45,3725
U00005,2026-02-20,2,44.4,0,0,0,133,31,0
U00005,2026-02-22,1,10.8,1,0,0,355,27,3939
U00005,2026-03-01,1,26.9,1,0,1,335,38,0
U00006,2026-02-27,3,10.5,2,0,0,308,47,0
U00006,2026-03-01,1,23.5,1,0,0,399,36,0
U00007,2026-01-03,2,21.4,0,1,1,64,15,0
U00007,2026-01-04,1,26.9,2,1,0,822,58,7085
U00007,2026-01-05,2,22.0,1,1,1,170,35,0
U00007,2026-01-06,2,17.2,0,1,1,51,12,6675
U00007,2026-01-08,1,36.5,1,1,0,174,45,7557
U00007,2026-01-09,1,32.2,1,1,1,324,42,0
U00007,2026-01-10,1,40.3,1,1,0,310,48,6185
U00007,2026-01-12,2,13.7,1,0,0,248,29,0
U00007,2026-01-13,1,23.4,1,0,0,183,36,0
U00007,2026-01-14,1,20.9,1,0,0,310,34,9580
U00007,2026-01-15,2,65.8,0,0,1,197,46,0
U00007,2026-01-16,1,20.3,1,0,1,669,34,0
U00007,2026-01-17,1,39.1,2,1,1,637,67,3640
U00007,2026-01-20,1,34.3,2,0,0,915,64,9720
U00007,2026-01-21,1,57.3,3,0,0,681,100,4900
U00007,2026-01-22,2,32.2,0,0,1,96,22,0
U00007,2026-01-23,2,21.6,1,0,0,372,35,6426
U00007,2026-01-24,2,40.3,0,0,0,120,28,8184
U00007,2026-01-26,2,12.7,1,0,0,383,28,0
U00007,2026-01-27,1,26.8,1,1,0,380,38,0
U00007,2026-01-28,1,33.3,1,0,1,360,43,0
U00007,2026-01-29,1,21.6,1,1,0,292,35,0
U00007,2026-01-31,2,47.2,0,1,1,141,33,4928
U00007,2026-02-02,2,49.7,0,0,0,148,34,0
U00007,2026-02-03,1,49.7,3,0,1,1023,94,7573
U00007,2026-02-04,1,16.5,2,0,0,390,51,2066
U00007,2026-02-06,2,31.5,2,1,1,488,62,0
U00007,2026-02-13,1,31.9,1,0,1,442,42,0
U00007,2026-02-16,1,24.1,2,1,1,613,56,7857
U00007,2026-02-17,2,24.8,2,0,0,649,57,0
U00007,2026-02-19,1,34.7,1,0,1,499,44,0
U00007,2026-02-20,1,18.3,1,0,1,417,32,7758
U00007,2026-02-21,3,48.0,1,1,0,328,53,3562
U00007,2026-02-25,2,20.3,1,0,1,411,34,0
U00007,2026-02-28,1,10.3,2,0,1,719,47,7684
U00008,2026-01-25,1,12.5,1,0,0,192,28,0
U00008,2026-01-26,1,20.1,1,0,0,235,34,0
U00008,2026-01-28,2,8.7,1,0,1,322,26,0
U00008,2026-01-31,1,13.1,2,0,0,512,49,6283
