user_id,country,gender,age,registration_date,acquisition_channel,is_premium
U00001,UK,Female,32,2026-01-04,Organic Search,1
U00002,Sweden,Female,38,2026-01-25,Organic Search,0
U00003,Sweden,Male,24,2026-01-08,Social Media,0
U00004,UK,Female,24,2026-01-04,Social Media,0
U00005,France,Female,28,2026-01-18,Organic Search,0
U00006,Germany,Male,18,2026-02-23,Paid Ads,0
U00007,UK,Male,23,2026-01-03,Social Media,1
U00008,Poland,Male,40,2026-01-22,Social Media,0
U00009,France,Male,33,2026-01-02,Organic Search,1
U00010,UK,Male,29,2026-01-07,Referral,0
U00011,UK,Female,30,2026-01-02,Paid Ads,0
U00012,Germany,Male,25,2026-02-03,App Store,0
U00013,Italy,Male,22,2026-02-09,Influencer,0
U00014,Germany,Male,25,2026-01-08,App Store,0
U00015,Poland,Male,30,2026-01-29,Influencer,0
U00016,France,Female,23,2026-01-12,Organic Search,1
U00017,Germany,Female,28,2026-02-17,Organic Search,0
U00018,Italy,Male,16,2026-01-02,Social Media,0
U00019,Poland,Female,34,2026-02-02,Organic Search,0
U00020,France,Female,30,2026-02-15,Social Media,1
U00021,UK,Male,30,2026-01-01,Social Media,0
U00022,UK,Male,29,2026-01-09,Paid Ads,0
U00023,France,Female,29,2026-02-23,Social Media,0
U00024,UK,Male,27,2026-01-01,Influencer,0
U00025,Germany,Male,26,2026-01-04,Social Media,0
U00026,UK,Female,30,2026-01-29,Organic Search,0
U00027,UK,Female,32,2026-01-02,Referral,0
U00028,Germany,Male,43,2026-01-18,Influencer,1
U00029,France,Male,20,2026-01-24,Social Media,0
U00030,Germany,Male,31,2026-01-03,Paid Ads,0
U00031,UK,Female,29,2026-01-16,Organic Search,1
U00032,Poland,Female,37,2026-01-21,Social Media,0
U00033,Spain,Female,29,2026-01-21,Organic Search,0
U00034,Poland,Female,30,2026-01-01,Organic Search,0
U00035,Germany,Male,41,2026-01-22,Organic Search,0
U00036,UK,Male,31,2026-01-28,Influencer,0
U00037,Spain,Female,26,2026-01-07,Organic Search,0
U00038,UK,Female,22,2026-01-20,App Store,0
U00039,Netherlands,Female,32,2026-01-07,Organic Search,0
U00040,Germany,Female,21,2026-02-23,Referral,0
U00041,Germany,Female,31,2026-02-23,Referral,0
U00042,UK,Female,27,2026-01-08,Organic Search,0
U00043,Belgium,Female,21,2026-01-20,Paid Ads,0
U00044,France,Female,29,2026-01-28,Influencer,0
U00045,UK,Male,31,2026-02-10,Referral,0
U00046,France,Female,31,2026-01-21,App Store,0
U00047,Poland,Male,22,2026-01-18,Organic Search,0
U00048,France,Male,26,2026-01-18,Organic Search,1
U00049,Sweden,Male,28,2026-01-30,Organic Search,0
U00050,Germany,Male,20,2026-01-16,Social Media,0
U00051,Spain,Other,16,2026-02-01,Social Media,0
U00052,Germany,Male,29,2026-02-23,Referral,0
U00053,France,Male,24,2026-01-16,App Store,0
U00054,UK,Female,23,2026-01-27,Influencer,0
U00055,France,Male,36,2026-01-01,Organic Search,1
U00056,Germany,Female,23,2026-01-25,Social Media,1
U00057,France,Male,26,2026-01-11,Influencer,0
U00058,Germany,Male,19,2026-01-20,Social Media,0
U00059,Spain,Male,29,2026-01-01,Influencer,0
U00060,Netherlands,Male,23,2026-01-21,Social Media,0
U00061,Belgium,Male,29,2026-01-02,Social Media,0
U00062,Germany,Female,23,2026-01-07,Organic Search,0
U00063,Netherlands,Female,33,2026-01-07,Organic Search,0
U00064,Italy,Other,32,2026-01-11,Social Media,0
U00065,UK,Female,26,2026-01-28,App Store,1
U00066,Poland,Female,35,2026-02-05,Social Media,0
U00067,UK,Male,30,2026-02-23,Influencer,0
U00068,France,Male,27,2026-01-08,Influencer,0
U00069,Italy,Female,27,2026-01-02,Social Media,0
U00070,Poland,Male,21,2026-01-03,Organic Search,0
U00071,Netherlands,Male,29,2026-01-02,Referral,0
U00072,Germany,Male,24,2026-02-23,Social Media,0
U00073,Italy,Female,22,2026-01-31,Influencer,0
U00074,Poland,Male,26,2026-01-14,Organic Search,0
U00075,Germany,Male,30,2026-01-28,Influencer,0
U00076,UK,Male,22,2026-02-10,Organic Search,0
U00077,Germany,Female,29,2026-01-02,Influencer,0
U00078,France,Female,28,2026-01-24,Social Media,0
U00079,Netherlands,Female,43,2026-01-07,Organic Search,0
U00080,UK,Female,22,2026-01-02,Paid Ads,0
U00081,Spain,Female,34,2026-01-24,Organic Search,0
U00082,Sweden,Female,23,2026-01-26,Influencer,0
U00083,Belgium,Female,36,2026-02-23,Organic Search,0
U00084,UK,Female,24,2026-02-06,Referral,0
U00085,France,Male,28,2026-01-30,Paid Ads,0
U00086,UK,Male,28,2026-01-03,Paid Ads,0
U00087,UK,Female,17,2026-01-03,Influencer,0
U00088,Italy,Female,36,2026-02-08,Influencer,0
U00089,Sweden,Male,32,2026-01-25,Organic Search,0
U00090,Germany,Male,37,2026-01-18,Social Media,0
U00091,Poland,Male,38,2026-01-11,Influencer,0
U00092,Belgium,Male,28,2026-02-22,Social Media,0
U00093,France,Other,16,2026-01-21,Organic Search,1
